age1,deaths1,age2,deaths2
0,2795,1,663
1,663,2,381
2,381,3,254
3,254,4,216
4,216,5,186
5,186,6,185
6,185,7,166
7,166,8,134
8,134,9,146
9,146,10,117
10,117,11,133
11,133,12,127
12,127,13,154
13,154,14,189
14,189,15,203
15,203,16,279
16,279,17,311
17,311,18,325
18,325,19,377
19,377,20,406
20,406,21,396
21,396,22,426
22,426,23,453
23,453,24,460
24,460,25,470
25,470,26,446
26,446,27,495
27,495,28,464
28,464,29,440
29,440,30,469
30,469,31,393
31,393,32,419
32,419,33,418
33,418,34,369
34,369,35,349
35,349,36,372
36,372,37,319
37,319,38,335
38,335,39,340
39,340,40,319
40,319,41,297
41,297,42,321
42,321,43,313
43,313,44,248
44,248,45,279
45,279,46,269
46,269,47,260
47,260,48,320
48,320,49,250
49,250,50,279
50,279,51,290
51,290,52,304
52,304,53,331
53,331,54,336
54,336,55,375
55,375,56,367
56,367,57,365
57,365,58,356
58,356,59,414
59,414,60,388
60,388,61,478
61,478,62,429
62,429,63,430
63,430,64,444
64,444,65,478
65,478,66,499
66,499,67,557
67,557,68,598
68,598,69,594
69,594,70,553
70,553,71,624
71,624,72,676
72,676,73,631
73,631,74,615
74,615,75,669
75,669,76,597
76,597,77,590
77,590,78,581
78,581,79,505
79,505,80,420
80,420,81,422
81,422,82,379
82,379,83,328
83,328,84,312
84,312,85,213
85,213,86,196
86,196,87,176
87,176,88,139
88,139,89,83
89,83,90,73
90,73,91,60
91,60,92,35
92,35,93,30
93,30,94,20
94,20,95,9
95,9,96,5
96,5,97,5
97,5,98,3
98,3,99,2
99,2,100,1
100,1,101,0
101,0,102,0
102,0,103,0
103,0,104,0
104,0,105,0
105,0,106,0
106,0,107,0
107,0,108,0
108,0,109,0
109,0,,
