Species,mass_grams,basal_metabolic_rate_watts
Alouatta alliata,4670,11.6
Aotus trivirgatus,1020,2.6
Arctocebus calabarensis,206,0.7
Callithrix jachus,190,0.9
Cebuella pygmaea,105,0.6
Cheirogaleus medius,300,1.1
Euoticus elegantilus,261.5,1.2
Galago crassicaudatus,1039,2.9
Galago demidovii,61,0.4
Galago elegantulus,261.5,1.2
Homo sapiens,70000,82.8
Lemur fulvus,2330,4.2
Nycticebus coucang,1300,1.7
Papio anubis,9500,16
Perodicticus potto,1011,2.1
Saguinus geoffroyi,225,1.3
Saimiri sciureus,800,4.4
