location,length,resource
Tillamook,0.0571,low
Tillamook,0.0813,medium
Tillamook,0.0831,low
Tillamook,0.0976,low
Tillamook,0.0817,medium
Tillamook,0.0859,low
Tillamook,0.0735,medium
Tillamook,0.0659,low
Tillamook,0.0923,low
Tillamook,0.0836,low
Newport,0.0873,medium
Newport,0.0662,medium
Newport,0.0672,low
Newport,0.0819,medium
Newport,0.0749,low
Newport,0.0649,medium
Newport,0.0835,low
Newport,0.0725,low
Petersburg,0.0974,high
Petersburg,0.1352,high
Petersburg,0.0817,medium
Petersburg,0.1016,high
Petersburg,0.0968,medium
Petersburg,0.1064,medium
Petersburg,0.105,high
Magadan,0.1033,medium
Magadan,0.0915,medium
Magadan,0.0781,low
Magadan,0.0685,medium
Magadan,0.0677,low
Magadan,0.0697,medium
Magadan,0.0764,low
Magadan,0.0689,medium
Tvarminne,0.0703,medium
Tvarminne,0.1026,high
Tvarminne,0.0956,medium
Tvarminne,0.0973,medium
Tvarminne,0.1039,high
Tvarminne,0.1045,high
