Growth.rate.Tyne,Growth.rate.Wear
1.919085587,2.319406055
2.49290403,2.098190677
3.021804251,3.541968991
2.350874335,3.888784107
3.148173559,3.960037772
2.423852931,5.742290286
4.870958803,5.244230091
3.897731347,4.795048308
2.830881925,5.380755443
2.3027171,3.610532158
3.195969626,2.24765071
2.829021095,3.388947185
3.027499621,4.061629942
5.285108403,5.478983004
4.260954913,4.303407161
4.049527754,3.973059861
4.623400317,4.632224111
5.625844909,5.284316226
2.634182102,2.480983544
3.513746393,3.950709949
2.714657446,2.133731304
2.862106084,5.586468488
3.955181039,6.918344272
3.044307782,5.270420973
3.358051334,2.015706722
1.633479467,3.467041808
4.613174755,5.028927385
2.200592859,2.3071735
2.233799598,2.96227354
3.357183631,2.69976154
3.111763697,6.569411852
1.842597624,6.405129788
4.36259229,5.990972601
2.23021006,2.553241161
3.104322517,2.592765531
4.762764289,1.761603478
