County,Income
Albany,59394
Allegany,42445
Bronx,34388
Broome,45958
Cattaraugus,42603
Cayuga,51581
Chautauqua,42429
Chemung,48804
Chenango,43941
Clinton,50282
Columbia,57336
Cortland,47151
Delaware,44470
Dutchess,72525
Erie,50653
Essex,47380
Franklin,45667
Fulton,44276
Genesee,49922
Greene,49655
Hamilton,51522
Herkimer,45047
Jefferson,46484
Kings,46085
Lewis,46840
Livingston,53518
Madison,53589
Monroe,52394
Montgomery,44156
Nassau,97690
New York,69659
Niagara,47955
Oneida,48729
Onondaga,54242
Ontario,56479
Orange,70458
Orleans,48502
Oswego,48051
Otsego,47765
Putnam,95117
Queens,57001
Rensselaer,59432
Richmond,72569
Rockland,84951
Saratoga,69826
Schenectady,56061
Schoharie,53245
Schuyler,46976
Seneca,47618
St. Lawrence,43647
Steuben,47476
Suffolk,87763
Sullivan,48089
Tioga,55726
Tompkins,51393
Ulster,58590
Warren,55904
Washington,52361
Wayne,52601
Westchester,81946
Wyoming,51100
Yates,49335
